customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,profit
47,Matthew,Jeaycock,Male,51,10/22/1992,Registered Nurse,Health,Affluent Customer,N,No,2,28,4332.19
48,Rebbecca,Casone,Female,46,8/15/1975,Biostatistician II,n/a,Mass Customer,N,Yes,8,45,5561.08
49,Nolly,Ownsworth,Male,63,1/26/1994,VP Quality Control,n/a,Affluent Customer,N,No,1,26,4248.68
50,Whitby,Schapero,Male,38,10/1/1980,Account Executive,Manufacturing,Mass Customer,N,Yes,16,40,5783.66
51,Fidelio,Dilke,Male,68,12/5/1959,Computer Systems Analyst II,Retail,Mass Customer,N,No,18,61,4855.4
52,Curran,Bentson,Male,57,6/22/1988,,Financial Services,Mass Customer,N,Yes,13,32,5417.83
53,Agnella,Gocke,Female,22,4/18/1954,Software Test Engineer II,Financial Services,Mass Customer,N,No,16,66,2950.07
54,Loralyn,Wonfor,Femal,2,7/24/1966,Sales Associate,Property,Mass Customer,N,Yes,18,54,4098.21
55,Linc,Jillions,Male,48,9/24/1956,Paralegal,Financial Services,Affluent Customer,N,Yes,7,64,3220.86
56,Reese,Ensor,Male,44,7/4/1996,VP Sales,Property,Mass Customer,N,Yes,4,24,1275.24
57,Abba,Masedon,M,87,6/13/1988,Chief Design Engineer,n/a,Mass Customer,N,Yes,13,32,5117.96
58,Dalenna,Pinnock,Female,26,7/4/1967,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17,53,3501.37
59,Niki,Heathcote,Male,60,2/8/2000,Physical Therapy Assistant,n/a,High Net Worth,N,No,3,20,2628.37
60,Nadiya,Champerlen,Female,18,2/4/1970,,Manufacturing,Mass Customer,N,No,10,50,647.22
61,Kacey,Rowbottom,Female,47,11/29/1959,Help Desk Operator,Property,High Net Worth,N,No,13,61,4254.24
62,Sorcha,Roggers,Female,38,7/6/1979,,IT,Mass Customer,N,Yes,22,41,4920.88
63,Ebony,Zini,Female,58,7/3/1965,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16,55,2190.05
64,Gerek,Yve,Male,73,3/25/1978,Legal Assistant,IT,High Net Worth,N,No,4,42,546.68
65,Yale,Tanser,Male,21,4/1/1976,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15,44,4441.61
66,Anselm,Gawne,Male,46,3/11/2002,Account Executive,Argiculture,High Net Worth,N,No,1,18,4549.2
67,Vernon,,Male,67,6/14/1960,Web Developer II,Retail,Mass Customer,N,No,18,60,1203.29
68,Dahlia,Eddoes,Female,37,4/21/1974,Information Systems Manager,n/a,Affluent Customer,N,No,9,46,3842.56
69,Heidi,Milner,Female,16,6/22/1969,Web Developer II,n/a,Mass Customer,N,No,6,51,5294.75
70,Foster,Vannoort,Male,78,2/27/1993,Paralegal,Financial Services,Affluent Customer,N,No,8,27,2736.9
71,Hoyt,Glavias,Male,30,1/27/1985,Research Associate,Argiculture,Affluent Customer,N,Yes,12,35,155.65
72,Sammy,Cheese,Male,93,2/13/1972,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16,48,2559.78
73,Minette,Worters,Female,16,5/27/1960,Teacher,n/a,Affluent Customer,N,Yes,5,60,2316.51
74,Pansy,Kiddie,Female,94,6/19/1969,,n/a,Mass Customer,N,Yes,6,51,966.52
75,Dollie,Sealy,Female,28,7/15/1978,VP Product Management,Property,Mass Customer,N,No,19,42,4979.94
76,Rea,Hasser,Female,20,1/23/1978,Statistician II,Retail,High Net Worth,N,Yes,18,42,2868.16
77,Shermie,Andrin,Male,79,9/12/1989,Automation Specialist IV,Financial Services,Mass Customer,N,No,7,31,1657.58
78,Arch,Van der Kruis,Male,37,3/12/1985,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8,35,82.26
79,Tybi,Silliman,Female,76,10/2/1968,Account Executive,Manufacturing,Mass Customer,N,No,18,52,2597.46
80,Pablo,Small,Male,11,4/24/1978,Data Coordiator,Entertainment,Mass Customer,N,No,13,42,5988.86
81,Bee,Blazewicz,Female,58,9/4/1986,,Health,High Net Worth,N,No,13,34,3249.02
82,Gleda,Cokely,Female,93,6/28/1965,Software Test Engineer III,Property,High Net Worth,N,No,19,55,2924.37
83,Kerr,Simmell,Male,97,2/26/1967,Internal Auditor,IT,Mass Customer,N,Yes,18,53,1798.2
84,Rich,Mathiasen,Male,78,2/7/1958,Accountant III,n/a,Mass Customer,N,Yes,14,62,2295.22
85,Kane,Tixall,Male,1,5/21/1958,Analyst Programmer,n/a,Mass Customer,N,No,8,62,563.37
86,Job,Sleney,Male,75,3/4/1989,Occupational Therapist,Health,High Net Worth,N,Yes,7,31,2360.09
87,Fields,Langdon,Male,78,4/23/1974,Editor,Financial Services,Mass Customer,N,No,8,46,3740.76
88,Malynda,Tumber,Female,41,2/3/1966,Help Desk Operator,Property,High Net Worth,N,Yes,7,54,2534.33
89,Benedicto,Hoxey,Male,74,1/22/1967,Speech Pathologist,Health,Mass Customer,N,Yes,14,53,5779.65
90,Cary,Garron,Male,76,11/12/1984,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11,36,2990.73
91,Dylan,Meaker,Male,69,2/24/1955,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17,65,5242.41
92,Jodee,Judkins,Female,98,9/11/1980,Recruiting Manager,Health,Mass Customer,N,No,12,40,2967.44
93,Gordon,Gowar,Male,63,7/16/1976,Project Manager,Retail,Mass Customer,N,Yes,10,44,2976.41
94,Wallache,Simchenko,Male,33,8/7/1974,Civil Engineer,Manufacturing,Mass Customer,N,No,21,46,4902.21
95,Nomi,Mallinder,Female,67,12/25/1960,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8,60,3050.81
96,Heath,Olford,Male,33,8/31/1968,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15,52,1135.25
97,Arne,Corain,Male,16,7/27/1979,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10,41,4911.21
98,Allianora,Babalola,Female,19,3/17/1956,Safety Technician IV,Health,Mass Customer,N,No,7,64,1930.56
99,Reggie,Mulliner,Male,97,6/13/1998,VP Accounting,Financial Services,Mass Customer,N,No,3,22,4557.65
100,Tripp,Steed,Male,80,5/11/1968,General Manager,Financial Services,Mass Customer,N,Yes,4,52,877.4
101,Goran,Kwietek,Male,83,12/29/1975,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11,45,2589.89
102,Langsdon,Tranfield,Male,51,11/27/1956,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,64,2587.01
103,Ethyl,Runham,Female,49,4/21/1997,Product Engineer,Financial Services,Affluent Customer,N,Yes,4,23,913.32
104,Odille,Panketh,Female,40,6/6/1978,Automation Specialist II,Health,Mass Customer,N,Yes,9,42,3550.26
105,Maribeth,Pristnor,Female,25,9/17/2001,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,19,3475.04
106,Glyn,,Male,54,7/3/1966,Software Test Engineer III,Health,High Net Worth,N,Yes,18,54,2513.69
107,Pris,Stallebrass,Female,97,7/1/1990,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9,30,2343.97
108,Kayle,Mingaud,Female,4,3/14/1994,,n/a,High Net Worth,N,No,3,26,2557.42
109,Cody,Blabey,Male,16,12/11/1978,Marketing Assistant,n/a,Affluent Customer,N,Yes,4,42,4430.66
110,Sascha,St. Quintin,Male,23,7/31/2000,,Financial Services,Affluent Customer,N,No,1,20,2621.55
111,Cele,Evason,Female,65,8/29/1993,Analyst Programmer,n/a,Mass Customer,N,No,2,27,3014.53
112,Shena,Parren,Female,88,8/12/1975,Marketing Manager,Retail,High Net Worth,N,No,12,45,5742.19
113,Gage,Nickless,Male,67,5/6/1956,Staff Scientist,n/a,Mass Customer,N,No,20,64,2329.49
114,Sunny,Swindells,Female,10,10/23/1985,Teacher,Entertainment,Affluent Customer,N,No,8,35,2195.26
115,Alberik,Mereweather,Male,77,12/21/1981,Account Executive,Health,Mass Customer,N,No,18,39,3135.87
116,Scottie,Swiffen,Male,49,2/5/1999,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,21,2447.54
117,Nance,Suttling,Female,75,2/23/1982,Marketing Manager,Manufacturing,Mass Customer,N,No,15,38,6917.34
118,Prentice,Pearmain,Male,43,11/12/1959,Budget/Accounting Analyst IV,n/a,High Net Worth,N,No,19,61,3550.1
119,Willey,Chastanet,Male,9,12/4/1981,Associate Professor,n/a,High Net Worth,N,Yes,9,39,4217.24
120,Sloan,Wagg,Male,80,9/2/1978,Legal Assistant,Financial Services,High Net Worth,N,Yes,4,42,1306.78
121,Myles,Pauncefort,Male,82,10/2/1957,Graphic Designer,Manufacturing,Mass Customer,N,No,15,63,2892.09
122,Colver,Itter,Male,87,4/19/1979,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12,41,2695.22
123,Almeta,Kalinsky,Female,85,12/3/1988,Analyst Programmer,Financial Services,High Net Worth,N,No,15,32,3245.75
124,Kath,Cunney,Female,27,5/3/1995,Administrative Assistant II,Health,High Net Worth,N,Yes,5,25,4054.25
125,Darrelle,Antoniewski,Female,94,3/17/1960,Computer Systems Analyst II,Property,Mass Customer,N,No,16,60,3345.01
126,Norman,Cliff,Male,53,10/15/1992,Administrative Officer,Health,Mass Customer,N,Yes,3,28,1096.46
127,Merrili,Whitear,Female,81,12/3/1974,Compensation Analyst,Financial Services,Mass Customer,N,No,19,46,3993.71
128,Isidro,Cypler,Male,73,7/17/1977,Systems Administrator III,Property,Mass Customer,N,Yes,12,43,2193.06
129,Weidar,Silkstone,Male,64,7/20/1985,Financial Advisor,Financial Services,High Net Worth,N,Yes,19,35,2753.75
130,Raddy,Delete,Male,32,7/18/1997,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,23,1779.58
131,Jana,Renyard,Female,57,10/16/1964,Administrative Officer,Retail,High Net Worth,N,No,8,56,5494.91
132,Celesta,Willavoys,Female,5,7/7/1963,Web Designer I,Manufacturing,Mass Customer,N,Yes,9,57,2780.72
133,Eldridge,Fiddeman,Male,12,6/13/1977,VP Accounting,Financial Services,Mass Customer,N,Yes,16,43,803.89
134,Merna,McCulloch,Female,34,8/1/1997,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5,23,2946.42
135,Rosalia,Sigart,Female,18,1/18/1975,Internal Auditor,IT,Mass Customer,N,No,3,45,4549.5
136,Mel,Bennet,Male,46,5/26/1973,Senior Developer,Manufacturing,High Net Worth,N,Yes,7,47,3543.2
137,Vaughn,Artin,Male,27,11/21/1987,Office Assistant II,Property,High Net Worth,N,No,10,33,1496.45
138,Onofredo,Franc,Male,5,4/28/1985,Recruiter,Financial Services,Affluent Customer,N,Yes,13,35,3377.12
139,Gar,,Male,1,7/28/1964,Operator,Telecommunications,Affluent Customer,N,No,4,56,5161.44
140,Morrie,Flaxon,Male,9,5/20/1994,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2,26,2699.9
141,Townsend,Trobe,Male,67,6/25/1954,Teacher,Financial Services,High Net Worth,N,Yes,10,66,2138.35
142,Bentley,Fortesquieu,Male,57,8/7/1967,Quality Engineer,Health,Affluent Customer,N,No,17,53,3917.34
143,Kendall,Figg,Male,19,9/1/1957,Operator,Argiculture,Mass Customer,N,Yes,11,63,2474.77
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,N,No,,,4888.02
145,Filippo,Ferrara,Male,33,7/21/1997,Account Executive,Financial Services,Mass Customer,N,No,4,23,3140.3
146,Ricoriki,Matlock,Male,34,4/8/1985,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8,35,217.06
147,Rea,Pattrick,Female,32,12/6/1973,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10,47,5034.16
148,Jaquith,Maffey,Female,69,5/8/1981,Programmer Analyst III,n/a,Mass Customer,N,Yes,5,39,3268.4
149,Drucy,Kausche,Female,41,1/31/1995,Research Nurse,Health,Mass Customer,N,Yes,1,25,2204.48
150,Bradly,Crosse,Male,6,8/23/1983,Cost Accountant,Financial Services,Affluent Customer,N,No,17,37,2446.51
151,Donnie,Brimson,Male,36,1/31/1965,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13,55,5665.41
152,Stephana,Cardew,Female,5,3/3/1981,Compensation Analyst,Financial Services,Mass Customer,N,No,16,39,1966.88
153,Lorilyn,Walshe,Female,73,7/28/1977,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12,43,5522.51
154,Faydra,Dulieu,Female,90,2/13/1958,Junior Executive,n/a,Mass Customer,N,No,11,62,683.63
155,Orran,Bogges,Male,4,12/28/1985,Quality Engineer,Manufacturing,Mass Customer,N,No,10,35,1088.42
156,Shayla,Rimmington,Female,23,9/9/1979,Cost Accountant,Financial Services,Mass Customer,N,Yes,11,41,3095.37
157,Chad,Houtby,Male,97,11/23/1974,Financial Advisor,Financial Services,Affluent Customer,N,No,16,46,492.23
158,Hamlin,Odams,Male,99,9/3/1984,Internal Auditor,n/a,Affluent Customer,N,No,5,36,4627.35
159,Arin,Matskevich,Male,90,5/12/1987,Research Nurse,Health,Affluent Customer,N,No,13,33,2935.37
160,Wake,Durning,Male,5,7/15/1964,Registered Nurse,Health,Mass Customer,N,No,18,56,2614.16
161,Tadd,Bloss,Male,49,1/21/1976,,n/a,Mass Customer,N,No,16,44,459.46
162,Port,Acuna,Male,90,8/12/1979,Nurse Practicioner,IT,Mass Customer,N,No,15,41,1329.61
163,Kessia,Helder,Female,58,9/6/1976,Librarian,Entertainment,High Net Worth,N,Yes,14,44,1101.28
164,Aarika,Van Vuuren,Female,55,8/7/1999,Senior Editor,Retail,Affluent Customer,N,Yes,1,21,786.14
165,Aldon,Roelofs,Male,61,3/25/1984,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,36,6182.52
166,Elston,Oleszczak,Male,54,6/12/1955,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6,65,4197.44
167,Nathalie,Tideswell,Female,95,10/27/1969,,Health,High Net Worth,N,Yes,17,51,5993.34
168,Reggie,Broggetti,U,8,,General Manager,IT,Affluent Customer,N,Yes,,,5800.6
169,Alfy,Bruhnke,Male,20,10/19/1957,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5,63,696.26
170,Jammal,Gever,Male,80,6/2/1975,Pharmacist,Health,High Net Worth,N,No,21,45,1820.81
171,Halli,Davidoff,Female,62,12/4/1970,Assistant Manager,Manufacturing,Mass Customer,N,No,10,50,4833.14
172,Hilton,Carney,Male,54,9/12/1988,Editor,Manufacturing,Affluent Customer,N,Yes,6,32,2348.66
173,Ebba,Hanselmann,Female,99,1/2/1997,General Manager,Health,Affluent Customer,N,No,1,23,6549.51
174,Catie,Tosspell,Female,93,11/26/1989,Food Chemist,Health,Mass Customer,N,No,12,31,7628.24
175,Templeton,Hambrook,Male,36,11/28/1975,Quality Engineer,Manufacturing,Affluent Customer,N,No,5,45,2170.54
176,Angelo,Clayal,Male,39,4/13/1992,Accountant I,Property,Mass Customer,N,No,10,28,3090.07
177,Ondrea,Pablos,Female,25,11/9/1989,Professor,Financial Services,High Net Worth,N,No,4,31,4108.6
178,Matthieu,Bertelmot,Male,2,4/3/1967,,n/a,Affluent Customer,N,No,8,53,2184.58
179,Esteban,Sewill,Male,23,5/11/1966,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6,54,1814.59
180,Trisha,Neasham,Female,16,9/17/1971,Web Designer III,Argiculture,Affluent Customer,N,No,14,49,4065.35
181,Pavla,Braunle,Female,49,11/21/1982,Senior Editor,Manufacturing,Mass Customer,N,No,9,38,2365.24
182,Lydon,Dahlman,Male,99,11/20/1992,Sales Associate,Financial Services,Affluent Customer,N,Yes,7,28,5409.12
183,Dannie,Hissie,Female,7,8/5/1997,Geologist III,Retail,Affluent Customer,N,No,3,23,3187.84
184,Nappie,Paolo,Male,40,12/13/1971,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7,49,2181.35
185,Crosby,Walcot,Male,80,12/13/1979,,Property,Mass Customer,N,Yes,13,41,3547.68
186,Mireielle,Jeppe,Female,46,5/6/1974,Software Test Engineer I,Financial Services,Mass Customer,N,No,3,46,2166.17
187,Pincas,Ather,Male,97,1/28/1954,Structural Engineer,n/a,Mass Customer,N,No,11,66,3014.88
188,Audry,Seine,Female,54,6/22/1975,Safety Technician II,Property,High Net Worth,N,Yes,13,45,2658.87
189,Umberto,Torricella,Male,73,7/19/1981,Safety Technician I,Financial Services,Affluent Customer,N,No,10,39,5329.98
190,Hayley,Girardengo,Female,42,2/4/1979,Registered Nurse,Health,Affluent Customer,N,No,10,41,704.28
191,Christopher,Heining,Male,22,4/27/1960,Help Desk Operator,n/a,Affluent Customer,N,Yes,6,60,834.94
192,Goldi,Osler,Female,2,11/19/1978,Junior Executive,Health,Mass Customer,N,Yes,8,42,1519.47
193,Foss,Hardes,Male,13,7/22/1964,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12,56,2551.5
194,Ursala,Ferrai,Female,4,11/16/1974,Web Developer III,Financial Services,Affluent Customer,N,No,10,46,2608.28
195,Talyah,Rylatt,Female,34,11/14/1958,Project Manager,Manufacturing,Mass Customer,N,No,6,62,9633.41
196,Swen,Odhams,Male,90,2/22/1966,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6,54,3738
197,Avis,,Female,32,1/27/1977,,n/a,High Net Worth,N,No,5,43,3651.71
198,Vanya,Gumb,Female,82,11/29/1981,Assistant Media Planner,Entertainment,Mass Customer,N,No,16,39,6631.87
199,Verla,Alven,Female,61,2/13/1978,Junior Executive,Health,Mass Customer,N,Yes,21,42,2650.53
200,Hube,Weald,Male,7,2/4/1957,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19,63,7283.86
201,Salem,Huie,Male,45,4/20/1966,Design Engineer,Manufacturing,Mass Customer,N,Yes,11,54,4369.02
202,Audie,Pillinger,Female,38,6/24/1963,Librarian,Entertainment,Affluent Customer,N,Yes,16,57,1295.91
203,Donovan,Conry,Male,71,1/13/1964,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11,56,1481.12
204,Thorny,Hackworth,Male,56,10/1/1976,Editor,Financial Services,Mass Customer,N,No,5,44,6287.29
205,Rolfe,Kellard,Male,18,12/1/1958,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6,62,2008.27
206,Mari,Chevolleau,Female,98,7/19/1954,Statistician I,n/a,Mass Customer,N,Yes,14,66,3816.65
207,Adena,Whyman,Female,9,8/10/1994,,n/a,Mass Customer,N,No,7,26,1630.03
208,Rutter,Excell,Male,57,10/31/1994,Office Assistant III,Property,High Net Worth,N,No,5,26,3342.02
209,Udall,Bellard,Male,9,8/28/1957,Analog Circuit Design manager,n/a,Affluent Customer,N,Yes,6,63,3081.07
210,Albrecht,Thomasson,Male,50,11/18/1963,Assistant Manager,Property,Mass Customer,N,No,18,57,2957.03
211,Beitris,,Female,6,3/4/1974,VP Marketing,Manufacturing,Mass Customer,N,Yes,5,46,4090.05
212,Nanice,Ellse,Female,21,11/19/2001,Desktop Support Technician,IT,Affluent Customer,N,No,1,19,1790.41
213,Lockwood,Exroll,Male,13,5/14/1996,Actuary,Financial Services,High Net Worth,N,Yes,6,24,8544.5
214,Jeramie,Cellier,Male,82,11/29/1957,Food Chemist,Health,Mass Customer,N,No,6,63,2498.84
215,Debera,Foxworthy,Female,37,6/24/1974,Assistant Professor,Retail,High Net Worth,N,Yes,18,46,3889.39
216,Cinderella,Parcall,Female,12,1/12/1995,Quality Engineer,Financial Services,High Net Worth,N,Yes,7,25,2152.05
217,Jeralee,Quartly,Female,63,12/9/1979,,Manufacturing,High Net Worth,N,No,16,41,2335.69
218,Stefa,Dunnan,Female,37,8/6/1993,Administrative Officer,Property,High Net Worth,N,Yes,8,27,1476.17
219,Markus,Mughal,Male,9,11/25/1964,Database Administrator III,Health,Mass Customer,N,No,7,56,1688.33
220,Jeniffer,Apark,Female,79,5/10/1954,Electrical Engineer,Manufacturing,High Net Worth,N,No,9,66,4304.11
221,Mara,Bloore,Female,14,3/10/1980,Tax Accountant,Manufacturing,Mass Customer,N,No,14,40,3865.68
222,Nev,Larive,Male,89,9/3/1978,Clinical Specialist,Health,Mass Customer,N,No,16,42,1428.06
223,Ossie,Meaton,Male,13,11/26/1983,VP Sales,n/a,Affluent Customer,N,Yes,14,37,4410.07
224,Morgun,Girvan,Male,2,12/3/1967,Compensation Analyst,Financial Services,Affluent Customer,N,No,17,53,3692.09
225,Brittaney,Pring,Female,84,3/11/1977,Pharmacist,Health,Affluent Customer,N,No,13,43,1587.55
226,Bondie,Letty,Male,96,11/11/1977,Database Administrator IV,Manufacturing,Mass Customer,N,No,20,43,1173.86
227,Wendall,McKeand,Male,99,8/14/1973,Accountant I,Entertainment,Mass Customer,N,No,18,47,3906.03
228,Lucia,Pickervance,Female,59,5/25/1986,Systems Administrator II,Manufacturing,High Net Worth,N,No,12,34,3719.75
229,Vaughn,Lambis,Male,30,3/6/1966,,Property,High Net Worth,N,No,19,54,1811.84
230,Maegan,Scyone,Female,74,6/24/1954,Internal Auditor,Property,High Net Worth,N,No,11,66,5319.63
231,Basile,Winsor,Male,48,8/5/1995,Design Engineer,Financial Services,Mass Customer,N,Yes,3,25,2344.52
232,Zaria,Koeppke,Female,94,11/11/1987,Professor,Retail,Mass Customer,N,No,12,33,3157.59
233,Art,Barwell,Male,34,8/8/1986,Environmental Tech,Property,Mass Customer,N,No,13,34,2187.09
234,Mead,Alpes,Female,71,8/12/1969,Chief Design Engineer,Retail,High Net Worth,N,No,12,51,5763.13
235,Leona,Phateplace,Female,30,12/26/1976,Social Worker,Health,Mass Customer,N,No,15,44,4685.82
236,Tybalt,Gillingwater,Male,79,10/30/1954,Research Nurse,Health,Affluent Customer,N,No,14,66,2434.64
237,Reginald,Dartan,Male,18,3/7/1974,Account Coordinator,Property,High Net Worth,N,Yes,11,46,3635.04
238,Max,Bilborough,Male,54,2/4/1984,Programmer III,n/a,Mass Customer,N,Yes,14,36,3112.57
239,Wells,Pressman,Male,62,12/13/1992,Registered Nurse,Health,Affluent Customer,N,No,3,28,5928.23
240,Gavin,Fawks,Male,49,7/28/1989,Administrative Assistant III,IT,High Net Worth,N,Yes,15,31,2338.21
241,Quillan,Duigan,Male,94,5/9/1987,Quality Engineer,Entertainment,Mass Customer,N,No,20,33,1922.82
